ONTOLOGY,ID,Description,Fold_Enrichment_Score,Count,pvalue,p.adjust,geneID
BP,GO:1903900,regulation of viral life cycle,1.4976336265675552,6,0.21306772631129592,0.7621722726387863,PKN2/PPIE/VPS4A/BANF1/P4HB/CNOT7
MF,GO:0003697,single-stranded DNA binding,1.5661061946902657,5,0.21551071028867266,0.7093548555614949,TERF2/ERCC5/RTF1/HNRNPU/POLR3C
CC,GO:0032580,Golgi cisterna membrane,1.6776142261550242,4,0.21598643068294063,0.6582806492273909,B4GALT7/GOLGA3/GALNT1/FUT1
BP,GO:0050777,negative regulation of immune response,1.4876494023904383,6,0.21734291992164406,0.7621722726387863,RC3H2/ARG2/DUSP10/IL7R/YTHDF3/CNOT7
MF,GO:0043022,ribosome binding,1.862842105263158,3,0.21768824962708813,0.7093548555614949,MTRF1L/EIF5A2/YTHDF3
MF,GO:0005484,SNAP receptor activity,2.283483870967742,2,0.21796367510388837,0.7093548555614949,STX12/VAMP7
MF,GO:0140142,nucleocytoplasmic carrier activity,2.283483870967742,2,0.21796367510388837,0.7093548555614949,XPO4/KPNA5
BP,GO:0032515,negative regulation of phosphoprotein phosphatase activity,1.8595617529880477,3,0.21850979582955088,0.7621722726387863,BOD1/PPP1R14A/PPP1R14C
BP,GO:0043486,histone exchange,1.8595617529880477,3,0.21850979582955088,0.7621722726387863,RBBP7/RBBP4/SPTY2D1
BP,GO:0045576,mast cell activation,1.8595617529880477,3,0.21850979582955088,0.7621722726387863,PLA2G3/SNX4/VAMP7
BP,GO:0046324,regulation of glucose import,1.8595617529880477,3,0.21850979582955088,0.7621722726387863,PRKAG2/APPL2/CAPN10
BP,GO:0051893,regulation of focal adhesion assembly,1.8595617529880477,3,0.21850979582955088,0.7621722726387863,CLASP2/APOD/LDB1
BP,GO:0090109,regulation of cell-substrate junction assembly,1.8595617529880477,3,0.21850979582955088,0.7621722726387863,CLASP2/APOD/LDB1
BP,GO:0090342,regulation of cell aging,1.8595617529880477,3,0.21850979582955088,0.7621722726387863,ARG2/CDK6/TERF2
BP,GO:0048872,homeostasis of number of cells,1.360654941210767,9,0.2187262743943282,0.7621722726387863,RC3H2/BAX/CDK6/BCL10/ARNT/IL7R/PDE4B/CARD11/LDB1
BP,GO:0010821,regulation of mitochondrion organization,1.4304321176831136,7,0.21945326443070232,0.7621722726387863,CSNK2A2/DDHD2/BAX/DDHD1/OMA1/TRIAP1/GBA
MF,GO:0031491,nucleosome binding,1.6656,4,0.2194562668952459,0.7093548555614949,HP1BP3/RBBP4/RNF168/RCC1
CC,GO:1904813,ficolin-1-rich granule lumen,1.5558519032889337,5,0.2194958227793985,0.6582806492273909,PGM1/PPIE/PYGL/CALML5/CSNK2B
CC,GO:0005790,smooth endoplasmic reticulum,2.269713364797974,2,0.21999118713530405,0.6582806492273909,GABARAP/MYO5A
CC,GO:0051233,spindle midzone,2.269713364797974,2,0.21999118713530405,0.6582806492273909,MAPRE1/HNRNPU
CC,GO:0098686,hippocampal mossy fiber to CA3 synapse,2.269713364797974,2,0.21999118713530405,0.6582806492273909,VAMP7/ADCY1
MF,GO:0009055,electron transfer activity,1.5523684210526316,5,0.22061773165527696,0.7093548555614949,DHDH/QDPR/ALDH4A1/C15orf48/ASPH
MF,GO:0036459,thiol-dependent ubiquitinyl hydrolase activity,1.5523684210526316,5,0.22061773165527696,0.7093548555614949,USP28/USP31/USP46/COPS5/OTUD3
MF,GO:0101005,ubiquitinyl hydrolase activity,1.5523684210526316,5,0.22061773165527696,0.7093548555614949,USP28/USP31/USP46/COPS5/OTUD3
BP,GO:1903169,regulation of calcium ion transmembrane transport,1.4777974195931505,6,0.22164708818147047,0.7621722726387863,BAX/DIAPH1/PSEN2/STAC/PDE4B/MYO5A
BP,GO:0003014,renal system process,1.5496347941567066,5,0.22175210744873006,0.7621722726387863,PRKAR2A/ADCY7/ADCY9/ADCY1/AKR1C3
BP,GO:0022612,gland morphogenesis,1.5496347941567066,5,0.22175210744873006,0.7621722726387863,BAX/VDR/RPS6KA1/BTRC/FRS2
BP,GO:0001914,regulation of T cell mediated cytotoxicity,2.2540142460461188,2,0.22223975867356552,0.7621722726387863,FAM49B/IL7R
BP,GO:0006891,intra-Golgi vesicle-mediated transport,2.2540142460461188,2,0.22223975867356552,0.7621722726387863,GOLGA3/COPE
BP,GO:0010092,specification of animal organ identity,2.2540142460461188,2,0.22223975867356552,0.7621722726387863,FRS2/RBPJ
BP,GO:0019692,deoxyribose phosphate metabolic process,2.2540142460461188,2,0.22223975867356552,0.7621722726387863,MBD4/NUDT15
BP,GO:0032633,interleukin-4 production,2.2540142460461188,2,0.22223975867356552,0.7621722726387863,RBPJ/IL1RAP
BP,GO:0035774,positive regulation of insulin secretion involved in cellular response to glucose stimulus,2.2540142460461188,2,0.22223975867356552,0.7621722726387863,ANO1/MPC2
BP,GO:0046633,alpha-beta T cell proliferation,2.2540142460461188,2,0.22223975867356552,0.7621722726387863,ARG2/ELF4
BP,GO:0060603,mammary gland duct morphogenesis,2.2540142460461188,2,0.22223975867356552,0.7621722726387863,VDR/BTRC
BP,GO:0070232,regulation of T cell apoptotic process,2.2540142460461188,2,0.22223975867356552,0.7621722726387863,ARG2/IL7R
BP,GO:1901186,positive regulation of ERBB signaling pathway,2.2540142460461188,2,0.22223975867356552,0.7621722726387863,RBPJ/NUP62
BP,GO:2000758,positive regulation of peptidyl-lysine acetylation,2.2540142460461188,2,0.22223975867356552,0.7621722726387863,RPS6KA4/PRKAA2
BP,GO:2001024,negative regulation of response to drug,2.2540142460461188,2,0.22223975867356552,0.7621722726387863,PDE8A/MET
BP,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",1.2756888015221437,13,0.2225260341476441,0.7621722726387863,PPIE/PAPOLA/CIRBP/HTATSF1/WDR83/DNAJC8/LSM7/WDR33/BUD13/CELF1/CWC15/HNRNPU/HNRNPA0
BP,GO:0000398,"mRNA splicing, via spliceosome",1.2756888015221437,13,0.2225260341476441,0.7621722726387863,PPIE/PAPOLA/CIRBP/HTATSF1/WDR83/DNAJC8/LSM7/WDR33/BUD13/CELF1/CWC15/HNRNPU/HNRNPA0
BP,GO:0043487,regulation of RNA stability,1.4226155487340255,7,0.22335793779309915,0.7621722726387863,SAMD4A/SMG6/CIRBP/CARHSP1/HNRNPU/HNRNPA0/YTHDF3
BP,GO:0042475,odontogenesis of dentin-containing tooth,1.6529437804338203,4,0.2234532860464591,0.7621722726387863,BAX/ITGA6/ACVR2B/CNNM4
BP,GO:1901214,regulation of neuron death,1.3070402097679572,11,0.22356588375319975,0.7621722726387863,GCLM/BAX/LANCL1/PIK3CA/EGLN3/MCL1/FOXQ1/CDK5/NSMF/NUPR1/GBA
MF,GO:0016667,"oxidoreductase activity, acting on a sulfur group of donors",1.8307241379310344,3,0.22513760379521713,0.7093548555614949,TMX1/SUMF1/P4HB
MF,GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",1.8307241379310344,3,0.22513760379521713,0.7093548555614949,AGPS/LANCL1/UBIAD1
BP,GO:0002696,positive regulation of leukocyte activation,1.2723317257286644,13,0.2252119389071254,0.7621722726387863,SNX4/PIK3CA/VAMP7/CDKN1A/BCL10/DUSP10/PAK1/FAM49B/IL7R/TNIP2/YES1/CARD11/TOX
BP,GO:0006879,cellular iron ion homeostasis,1.8290771340866043,3,0.2255982821855211,0.7621722726387863,FTL/ISCU/TMEM199
BP,GO:0030521,androgen receptor signaling pathway,1.8290771340866043,3,0.2255982821855211,0.7621722726387863,KDM3A/SAFB2/PRMT2
BP,GO:0046513,ceramide biosynthetic process,1.8290771340866043,3,0.2255982821855211,0.7621722726387863,ST6GALNAC6/SGMS2/GBA
BP,GO:0000187,activation of MAPK activity,1.468075068148459,6,0.225979431678588,0.7621722726387863,MAP4K5/TAB1/MAP3K7/FRS2/MAP4K2/PTPN1
BP,GO:0007286,spermatid development,1.468075068148459,6,0.225979431678588,0.7621722726387863,PLA2G3/KDM3A/PYGO2/STRBP/AGFG1/OSBP2
BP,GO:0016202,regulation of striated muscle tissue development,1.468075068148459,6,0.225979431678588,0.7621722726387863,CYP26B1/TGFBR1/PAK1/FRS2/RBPJ/MTM1
BP,GO:0048638,regulation of developmental growth,1.2861522210868341,12,0.2260966526327923,0.7621722726387863,TGFBR1/PIK3CA/CDKN1A/CDK4/DUSP10/PAK1/WWC2/ZFYVE27/CDK5/RBPJ/MTM1/CYFIP1
BP,GO:0050863,regulation of T cell activation,1.3028776613292055,11,0.22653686693669348,0.7621722726387863,CYP26B1/RC3H2/ARG2/PIK3CA/BCL10/DUSP10/PAK1/FAM49B/IL7R/YES1/CARD11
BP,GO:0043618,regulation of transcription from RNA polymerase II promoter in response to stress,1.5368278950314445,5,0.2266504886394473,0.7621722726387863,NEDD4/INO80/EGLN3/ARNT/RBPJ
BP,GO:0002699,positive regulation of immune effector process,1.3774531503615168,8,0.22687844948510727,0.7621722726387863,SNX4/VAMP7/MAP3K7/APPL2/BCL10/FAM49B/MYO18A/ZCCHC3
BP,GO:0034728,nucleosome organization,1.4148839424909059,7,0.2272868790383994,0.7621722726387863,RBBP7/ASF1A/HP1BP3/INO80/RBBP4/SPTY2D1/TSPYL2
BP,GO:0043401,steroid hormone mediated signaling pathway,1.4148839424909059,7,0.2272868790383994,0.7621722726387863,NEDD4/VDR/KDM3A/SAFB2/PAK1/PRMT2/TADA3
BP,GO:0007265,Ras protein signal transduction,1.2452422453044965,15,0.22746982983733124,0.7621722726387863,ALS2/USP28/RASGRP2/RAB7A/MET/CYTH1/MAPKAP1/CDKN1A/RAP2A/G3BP2/RAB15/RIT1/RAP2B/NUP62/CYFIP1
MF,GO:0051721,protein phosphatase 2A binding,2.212125,2,0.22844489159004558,0.7093548555614949,BOD1/PTPN1
MF,GO:0071949,FAD binding,2.212125,2,0.22844489159004558,0.7093548555614949,AGPS/MICAL2
MF,GO:1904680,peptide transmembrane transporter activity,2.212125,2,0.22844489159004558,0.7093548555614949,MCL1/TOMM20
BP,GO:0045926,negative regulation of growth,1.344261508184131,9,0.2287681276643596,0.7621722726387863,RBBP7/ING4/CDKN1A/DUSP10/PAK1/WWC2/CDK5/CRLF3/TSPYL2
MF,GO:0005543,phospholipid binding,1.2433489461358314,15,0.22903299064858257,0.7093548555614949,SNX1/SNX24/KIF16B/EEA1/PLEKHA1/SNX4/MAPKAP1/MYO1B/SBF2/SNX14/APPL2/ANXA7/WDFY3/MTM1/NUP62
BP,GO:0045638,negative regulation of myeloid cell differentiation,1.6347795630664157,4,0.22919451261080828,0.7621722726387863,CDK6/GABPA/TOB2/LDB1
CC,GO:0005720,nuclear heterochromatin,2.204864411518032,2,0.2295990429534149,0.6582806492273909,CBX5/CBX1
BP,GO:0051017,actin filament bundle assembly,1.4584798062651354,6,0.2303391460968325,0.7621722726387863,PLS3/MET/TGFBR1/MYO1B/PAK1/CLASP2
BP,GO:0090316,positive regulation of intracellular protein transport,1.4584798062651354,6,0.2303391460968325,0.7621722726387863,CSNK2A2/XPO4/EDEM1/PAK1/CDK5/MYO1C
BP,GO:0008406,gonad development,1.3711054399911873,8,0.23050875490070352,0.7621722726387863,BAX/TGFBR1/PLEKHA1/SDC1/SAFB2/AGO4/NUPR1/AKR1C3
BP,GO:0043624,cellular protein complex disassembly,1.3711054399911873,8,0.23050875490070352,0.7621722726387863,MTRF1L/CAPZA1/VPS4A/MICAL2/CLASP2/EIF5A2/TRMT112/ASPH
BP,GO:0000375,"RNA splicing, via transesterification reactions",1.2656703030808703,13,0.2306238755940795,0.7621722726387863,PPIE/PAPOLA/CIRBP/HTATSF1/WDR83/DNAJC8/LSM7/WDR33/BUD13/CELF1/CWC15/HNRNPU/HNRNPA0
CC,GO:0000164,protein phosphatase type 1 complex,3.858512720156555,1,0.23098554983053798,0.6582806492273909,PPP1CC
CC,GO:0000815,ESCRT III complex,3.858512720156555,1,0.23098554983053798,0.6582806492273909,CHMP1B
CC,GO:0002177,manchette,3.858512720156555,1,0.23098554983053798,0.6582806492273909,STRBP
CC,GO:0031010,ISWI-type complex,3.858512720156555,1,0.23098554983053798,0.6582806492273909,RBBP4
BP,GO:0007369,gastrulation,1.4072359211801442,7,0.23123950491796957,0.7621722726387863,KIF16B/ARFRP1/ACVR2B/RTF1/CLASP2/FRS2/LDB1
BP,GO:0071383,cellular response to steroid hormone stimulus,1.3388844621513944,9,0.23215320260501557,0.7621722726387863,NEDD4/VDR/KDM3A/SAFB2/PAK1/HNRNPU/PRMT2/TADA3/AKR1C3
BP,GO:0003382,epithelial cell morphogenesis,2.187719709397703,2,0.23222067950336336,0.7621722726387863,MET/CLDN3
BP,GO:0006536,glutamate metabolic process,2.187719709397703,2,0.23222067950336336,0.7621722726387863,GCLM/ALDH4A1
BP,GO:0016601,Rac protein signal transduction,2.187719709397703,2,0.23222067950336336,0.7621722726387863,ALS2/CYFIP1
BP,GO:0071868,cellular response to monoamine stimulus,2.187719709397703,2,0.23222067950336336,0.7621722726387863,GABPA/PDE4B
BP,GO:0071870,cellular response to catecholamine stimulus,2.187719709397703,2,0.23222067950336336,0.7621722726387863,GABPA/PDE4B
CC,GO:0031248,protein acetyltransferase complex,1.6246369348027603,4,0.23253726600605018,0.6582806492273909,ING4/KANSL3/MAP3K7/TADA3
CC,GO:1902493,acetyltransferase complex,1.6246369348027603,4,0.23253726600605018,0.6582806492273909,ING4/KANSL3/MAP3K7/TADA3
BP,GO:0002260,lymphocyte homeostasis,1.7995758899884333,3,0.23273053527091897,0.7621722726387863,RC3H2/BAX/BCL10
BP,GO:0002753,cytoplasmic pattern recognition receptor signaling pathway,1.7995758899884333,3,0.23273053527091897,0.7621722726387863,TAB1/MAP3K7/ZCCHC3
BP,GO:0006220,pyrimidine nucleotide metabolic process,1.7995758899884333,3,0.23273053527091897,0.7621722726387863,MBD4/CMPK1/CDS1
BP,GO:0070265,necrotic cell death,1.7995758899884333,3,0.23273053527091897,0.7621722726387863,BAX/TRPM7/PYGL
BP,GO:1903039,positive regulation of leukocyte cell-cell adhesion,1.364815965495815,8,0.23415964509691245,0.7621722726387863,PIK3CA/BCL10/DUSP10/PAK1/FAM49B/IL7R/YES1/CARD11
MF,GO:0017048,Rho GTPase binding,1.3997627118644067,7,0.23505681521052735,0.7093548555614949,ALS2/PKN2/DOCK7/DIAPH1/DIAPH2/PAK1/CYFIP1
BP,GO:0022900,electron transport chain,1.3996701366576705,7,0.2352152278946528,0.7621722726387863,DHDH/ISCU/QDPR/ALDH4A1/C15orf48/SDHAF2/ASPH
BP,GO:0042089,cytokine biosynthetic process,1.5118388235675186,5,0.23654125579901952,0.7621722726387863,MAST2/BCL10/CARD9/IL1RAP/CARD11
BP,GO:0000012,single strand break repair,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,TERF2
BP,GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CNOT7
BP,GO:0000338,protein deneddylation,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,COPS5
BP,GO:0001768,establishment of T cell polarity,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CYP26B1
BP,GO:0001787,natural killer cell proliferation,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,ELF4
BP,GO:0002934,desmosome organization,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,PKP3
BP,GO:0006222,UMP biosynthetic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CMPK1
BP,GO:0006285,"base-excision repair, AP site formation",3.7191235059760954,1,0.23862414660769404,0.7621722726387863,MBD4
BP,GO:0006560,proline metabolic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,ALDH4A1
BP,GO:0006570,tyrosine metabolic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,FAH
BP,GO:0007084,mitotic nuclear envelope reassembly,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,BANF1
BP,GO:0007220,Notch receptor processing,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,PSEN2
BP,GO:0007440,foregut morphogenesis,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,ACVR2B
BP,GO:0008343,adult feeding behavior,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,USP46
BP,GO:0009157,deoxyribonucleoside monophosphate biosynthetic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,TK2
BP,GO:0009173,pyrimidine ribonucleoside monophosphate metabolic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CMPK1
BP,GO:0009174,pyrimidine ribonucleoside monophosphate biosynthetic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CMPK1
BP,GO:0009396,folic acid-containing compound biosynthetic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,MTHFD1L
BP,GO:0010603,regulation of cytoplasmic mRNA processing body assembly,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CNOT6
BP,GO:0010918,positive regulation of mitochondrial membrane potential,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CTNS
BP,GO:0015809,arginine transport,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,SLC7A1
BP,GO:0016102,diterpenoid biosynthetic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,AKR1C3
BP,GO:0018065,protein-cofactor linkage,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,SDHAF2
BP,GO:0018242,protein O-linked glycosylation via serine,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,GALNT1
BP,GO:0021694,cerebellar Purkinje cell layer formation,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,LDB1
BP,GO:0030311,poly-N-acetyllactosamine biosynthetic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,B3GNT9
BP,GO:0030647,aminoglycoside antibiotic metabolic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,AKR1C3
BP,GO:0031848,protection from non-homologous end joining at telomere,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,TERF2
BP,GO:0032328,alanine transport,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,SLC36A1
BP,GO:0032463,negative regulation of protein homooligomerization,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,GBA
BP,GO:0032875,regulation of DNA endoreduplication,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,STAG2
BP,GO:0034058,endosomal vesicle fusion,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,VPS4A
BP,GO:0034350,regulation of glial cell apoptotic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CDK5
BP,GO:0035247,peptidyl-arginine omega-N-methylation,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,PRMT2
BP,GO:0035871,protein K11-linked deubiquitination,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,OTUD3
BP,GO:0035878,nail development,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,ITGA6
BP,GO:0035999,tetrahydrofolate interconversion,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,MTHFD1L
BP,GO:0036500,ATF6-mediated unfolded protein response,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,MBTPS1
BP,GO:0042428,serotonin metabolic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,RNF180
BP,GO:0043653,mitochondrial fragmentation involved in apoptotic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,BAX
BP,GO:0044351,macropinocytosis,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,APPL2
BP,GO:0045713,low-density lipoprotein particle receptor biosynthetic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CNPY2
BP,GO:0045945,positive regulation of transcription by RNA polymerase III,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,ELL
BP,GO:0046049,UMP metabolic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CMPK1
BP,GO:0046322,negative regulation of fatty acid oxidation,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,APPL2
BP,GO:0046642,negative regulation of alpha-beta T cell proliferation,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,ARG2
BP,GO:0046710,GDP metabolic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CARD11
BP,GO:0048149,behavioral response to ethanol,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,USP46
BP,GO:0048382,mesendoderm development,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,LDB1
BP,GO:0048703,embryonic viscerocranium morphogenesis,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,MTHFD1L
BP,GO:0050861,positive regulation of B cell receptor signaling pathway,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CMTM3
BP,GO:0051409,response to nitrosative stress,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,GCLM
BP,GO:0060068,vagina development,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,BAX
BP,GO:0060923,cardiac muscle cell fate commitment,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,RBPJ
BP,GO:0070816,phosphorylation of RNA polymerase II C-terminal domain,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,GTF2H1
BP,GO:0071233,cellular response to leucine,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,SESN1
BP,GO:0071609,chemokine (C-C motif) ligand 5 production,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,ARG2
BP,GO:0071670,smooth muscle cell chemotaxis,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,PARVA
BP,GO:0090336,positive regulation of brown fat cell differentiation,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,HNRNPU
BP,GO:0090557,establishment of endothelial intestinal barrier,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CLDN1
BP,GO:0097050,type B pancreatic cell apoptotic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,CAPN10
BP,GO:0098722,asymmetric stem cell division,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,DOCK7
BP,GO:1902915,negative regulation of protein polyubiquitination,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,TRIM44
BP,GO:1903897,regulation of PERK-mediated unfolded protein response,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,PTPN1
BP,GO:1904350,regulation of protein catabolic process in the vacuole,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,GBA
BP,GO:1904526,regulation of microtubule binding,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,MAPRE1
BP,GO:1904779,regulation of protein localization to centrosome,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,NUP62
BP,GO:1990253,cellular response to leucine starvation,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,SESN1
BP,GO:1990822,basic amino acid transmembrane transport,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,SLC7A1
BP,GO:2000049,positive regulation of cell-cell adhesion mediated by cadherin,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,DENND6A
BP,GO:2000317,negative regulation of T-helper 17 type immune response,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,RC3H2
BP,GO:2000480,negative regulation of cAMP-dependent protein kinase activity,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,PRKAR2A
BP,GO:2000574,regulation of microtubule motor activity,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,DNAL4
BP,GO:2000628,regulation of miRNA metabolic process,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,RC3H2
BP,GO:2000665,regulation of interleukin-13 secretion,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,ARG2
BP,GO:2001135,regulation of endocytic recycling,3.7191235059760954,1,0.23862414660769404,0.7621722726387863,NDRG4
MF,GO:0008187,poly-pyrimidine tract binding,2.145090909090909,2,0.2389592007111828,0.7093548555614949,CIRBP/HNRNPU
BP,GO:0015980,energy derivation by oxidation of organic compounds,1.3049556161319633,10,0.23912715881684324,0.7621722726387863,CS/IDH3G/PGM1/PYGL/PRKAG2/PIK3CA/ISCU/SDHAF2/EPM2AIP1/PPP1CC
BP,GO:1901861,regulation of muscle tissue development,1.4396607119907465,6,0.23913744893770578,0.7621722726387863,CYP26B1/TGFBR1/PAK1/FRS2/RBPJ/MTM1
BP,GO:2001236,regulation of extrinsic apoptotic signaling pathway,1.4396607119907465,6,0.23913744893770578,0.7621722726387863,ZMYND11/GCLM/ITGA6/TGFBR1/BCL10/MCL1
BP,GO:1905475,regulation of protein localization to membrane,1.39218526961672,7,0.23921345645169975,0.7621722726387863,VAMP7/VPS4A/STAC/PAK1/LZTFL1/CDK5/MYO1C
CC,GO:0001772,immunological synapse,2.143618177864753,2,0.23923370419363818,0.6582806492273909,BCL10/CARD11
CC,GO:0008180,COP9 signalosome,2.143618177864753,2,0.23923370419363818,0.6582806492273909,DOCK7/COPS5
BP,GO:0006476,protein deacetylation,1.5996230133230518,4,0.24078479717058185,0.7621722726387863,SUDS3/PRKAA2/TADA3/TBL1XR1
BP,GO:0032092,positive regulation of protein binding,1.5996230133230518,4,0.24078479717058185,0.7621722726387863,MAPRE1/DTX3L/CDK5/RFNG
BP,GO:1901655,cellular response to ketone,1.5996230133230518,4,0.24078479717058185,0.7621722726387863,CDK4/PRKAA2/ADCY1/AKR1C3
BP,GO:0042107,cytokine metabolic process,1.4996465749903611,5,0.24153125639694312,0.7621722726387863,MAST2/BCL10/CARD9/IL1RAP/CARD11
BP,GO:0000266,mitochondrial fission,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,DDHD2/DDHD1
BP,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",2.1252134319863405,2,0.24222815172355872,0.7621722726387863,FCF1/BTRC
BP,GO:0001881,receptor recycling,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,ALS2/KIF16B
BP,GO:0001893,maternal placenta development,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,VDR/LDOC1
BP,GO:0003203,endocardial cushion morphogenesis,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,TGFBR1/RBPJ
BP,GO:0006369,termination of RNA polymerase II transcription,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,PAPOLA/WDR33
BP,GO:0009262,deoxyribonucleotide metabolic process,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,MBD4/NUDT15
BP,GO:0019076,viral release from host cell,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,RAB7A/VPS4A
BP,GO:0032435,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,RYBP/MTM1
BP,GO:0033363,secretory granule organization,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,PLA2G3/AGFG1
BP,GO:0035890,exit from host,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,RAB7A/VPS4A
BP,GO:0035891,exit from host cell,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,RAB7A/VPS4A
BP,GO:0052126,movement in host environment,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,RAB7A/VPS4A
BP,GO:0052192,movement in environment of other organism involved in symbiotic interaction,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,RAB7A/VPS4A
BP,GO:0070423,nucleotide-binding oligomerization domain containing signaling pathway,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,TAB1/MAP3K7
BP,GO:1901385,regulation of voltage-gated calcium channel activity,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,STAC/PDE4B
BP,GO:1904031,positive regulation of cyclin-dependent protein kinase activity,2.1252134319863405,2,0.24222815172355872,0.7621722726387863,CCND3/CDKN1A
BP,GO:0043902,positive regulation of multi-organism process,1.3847800288208867,7,0.2432335953991928,0.7621722726387863,PKN2/RAB7A/PPIE/VPS4A/P4HB/CNOT7/ZCCHC3
